epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,10502.2,1.10949,0.75272,1.18648,0.76597,0.77174,0.79923,0.48769,1.3681,0.90806,1.38992,4.456e-05,4.456e-05,4.456e-05
114,10585.9,1.11989,0.75609,1.19449,0.75817,0.78116,0.80022,0.48762,1.37127,0.90717,1.38977,4.4065e-05,4.4065e-05,4.4065e-05
115,10672.9,1.10558,0.75058,1.18502,0.74983,0.78595,0.79583,0.48679,1.36636,0.90563,1.3871,4.357e-05,4.357e-05,4.357e-05
116,10779.1,1.11487,0.75665,1.19299,0.77257,0.76972,0.79565,0.49015,1.35972,0.90757,1.38707,4.3075e-05,4.3075e-05,4.3075e-05
117,10868.1,1.10218,0.74742,1.19086,0.77207,0.77341,0.79707,0.4895,1.35947,0.9038,1.3844,4.258e-05,4.258e-05,4.258e-05
118,10958.4,1.10751,0.74724,1.18616,0.76626,0.77759,0.7978,0.48939,1.36359,0.90539,1.38553,4.2085e-05,4.2085e-05,4.2085e-05
119,11046.5,1.11166,0.74522,1.1868,0.76154,0.78261,0.79606,0.48784,1.3682,0.91008,1.3906,4.159e-05,4.159e-05,4.159e-05
120,11129.7,1.09947,0.73612,1.17677,0.75787,0.77987,0.80074,0.49183,1.36019,0.90587,1.38326,4.1095e-05,4.1095e-05,4.1095e-05
121,11210.3,1.10978,0.74339,1.18467,0.77007,0.76672,0.80271,0.49498,1.35841,0.90104,1.38235,4.06e-05,4.06e-05,4.06e-05
122,11295.6,1.09459,0.74156,1.17904,0.75088,0.78512,0.80339,0.49612,1.35438,0.8952,1.38312,4.0105e-05,4.0105e-05,4.0105e-05
123,11376.7,1.10493,0.74443,1.18804,0.75848,0.78261,0.80189,0.49355,1.35536,0.89154,1.38395,3.961e-05,3.961e-05,3.961e-05
124,11467.4,1.10579,0.74097,1.18097,0.76171,0.78578,0.80591,0.49493,1.35647,0.88844,1.38229,3.9115e-05,3.9115e-05,3.9115e-05
125,11564.1,1.09949,0.73098,1.17058,0.76204,0.79258,0.80529,0.49418,1.35943,0.89034,1.38344,3.862e-05,3.862e-05,3.862e-05
126,11645.3,1.09027,0.7345,1.17585,0.76877,0.78094,0.8047,0.49251,1.36096,0.89543,1.38422,3.8125e-05,3.8125e-05,3.8125e-05
127,11745.7,1.09196,0.73153,1.1745,0.76717,0.78177,0.8041,0.49217,1.35605,0.89595,1.37938,3.763e-05,3.763e-05,3.763e-05
128,11828.3,1.08849,0.73184,1.17441,0.77321,0.77252,0.80358,0.49267,1.3551,0.89717,1.38163,3.7135e-05,3.7135e-05,3.7135e-05
129,11911.8,1.08614,0.72668,1.17479,0.75134,0.79431,0.80111,0.4896,1.35746,0.89751,1.3825,3.664e-05,3.664e-05,3.664e-05
130,11994.9,1.08418,0.72757,1.17679,0.76116,0.78595,0.80168,0.49048,1.3583,0.9004,1.38445,3.6145e-05,3.6145e-05,3.6145e-05
131,12077.8,1.08604,0.72783,1.17453,0.75347,0.79219,0.80128,0.48997,1.35938,0.8965,1.38667,3.565e-05,3.565e-05,3.565e-05
132,12219.8,1.08653,0.71992,1.16866,0.76474,0.78177,0.80107,0.49118,1.35851,0.89315,1.38413,3.5155e-05,3.5155e-05,3.5155e-05
133,12368.3,1.08698,0.73017,1.17232,0.76674,0.77676,0.80149,0.49191,1.35972,0.894,1.38734,3.466e-05,3.466e-05,3.466e-05
134,12515.4,1.08309,0.72457,1.1696,0.7672,0.7801,0.80303,0.49301,1.35756,0.89107,1.38753,3.4165e-05,3.4165e-05,3.4165e-05
135,12667.2,1.07847,0.72469,1.17437,0.76055,0.78875,0.80334,0.49329,1.35873,0.89258,1.38876,3.367e-05,3.367e-05,3.367e-05
136,12810.9,1.07622,0.72356,1.16312,0.77255,0.78099,0.80382,0.49189,1.3618,0.89109,1.39424,3.3175e-05,3.3175e-05,3.3175e-05
137,12907.6,1.0793,0.71599,1.16512,0.77677,0.77425,0.80293,0.4923,1.35875,0.89212,1.39334,3.268e-05,3.268e-05,3.268e-05
138,13003.3,1.07705,0.71574,1.16811,0.78086,0.76756,0.80258,0.49276,1.35591,0.89047,1.38893,3.2185e-05,3.2185e-05,3.2185e-05
139,13095.5,1.07124,0.71623,1.16575,0.7508,0.79348,0.80317,0.49297,1.35589,0.89034,1.38887,3.169e-05,3.169e-05,3.169e-05
