epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,12230.7,1.21976,0.85753,1.36856,0.80218,0.7595,0.81311,0.5125,1.29749,0.83799,1.43554,5.545e-05,5.545e-05,5.545e-05
92,12316.8,1.21497,0.85798,1.36805,0.80382,0.75836,0.8138,0.51543,1.29796,0.84315,1.44043,5.4955e-05,5.4955e-05,5.4955e-05
93,12402.9,1.21907,0.85437,1.36517,0.80964,0.75393,0.81255,0.51384,1.30257,0.84843,1.45358,5.446e-05,5.446e-05,5.446e-05
94,12489,1.2173,0.85262,1.37057,0.81667,0.74247,0.81201,0.51166,1.3063,0.84728,1.45961,5.3965e-05,5.3965e-05,5.3965e-05
95,12574.9,1.20521,0.85049,1.35766,0.80635,0.73997,0.81109,0.50993,1.31023,0.84552,1.44176,5.347e-05,5.347e-05,5.347e-05
96,12660.6,1.20821,0.8533,1.35649,0.80493,0.74522,0.8104,0.5032,1.32,0.85554,1.45424,5.2975e-05,5.2975e-05,5.2975e-05
97,12746.4,1.20127,0.83836,1.35252,0.79698,0.76254,0.81837,0.51378,1.31443,0.84429,1.45377,5.248e-05,5.248e-05,5.248e-05
98,12832.4,1.21145,0.8561,1.36205,0.80143,0.77276,0.81854,0.50746,1.32168,0.85436,1.4623,5.1985e-05,5.1985e-05,5.1985e-05
99,12918.1,1.21036,0.84449,1.36614,0.79256,0.77592,0.81849,0.51263,1.31855,0.84482,1.45927,5.149e-05,5.149e-05,5.149e-05
100,13004,1.19025,0.84217,1.35929,0.78423,0.77797,0.81975,0.51294,1.31883,0.8395,1.46856,5.0995e-05,5.0995e-05,5.0995e-05
101,13089.6,1.2033,0.84422,1.36798,0.78245,0.76171,0.81188,0.51371,1.3066,0.84778,1.46426,5.05e-05,5.05e-05,5.05e-05
102,13175.1,1.19951,0.84736,1.3669,0.79348,0.75585,0.8159,0.51506,1.31829,0.84613,1.47599,5.0005e-05,5.0005e-05,5.0005e-05
103,13260.8,1.19742,0.8375,1.3621,0.78411,0.76832,0.8127,0.50987,1.32242,0.84871,1.46494,4.951e-05,4.951e-05,4.951e-05
104,13346.6,1.18832,0.8218,1.34798,0.79506,0.76227,0.81567,0.51181,1.32237,0.84618,1.45919,4.9015e-05,4.9015e-05,4.9015e-05
105,13460.5,1.20183,0.847,1.36772,0.78876,0.76589,0.81239,0.51275,1.31296,0.84832,1.45967,4.852e-05,4.852e-05,4.852e-05
106,13610.4,1.18923,0.83855,1.35839,0.79097,0.77199,0.81444,0.51302,1.30887,0.84615,1.45857,4.8025e-05,4.8025e-05,4.8025e-05
107,13749.2,1.18945,0.83579,1.35049,0.78668,0.7801,0.81784,0.5101,1.32525,0.84566,1.47542,4.753e-05,4.753e-05,4.753e-05
108,13903.6,1.19081,0.8316,1.35265,0.78321,0.78235,0.8193,0.51545,1.31912,0.83906,1.46865,4.7035e-05,4.7035e-05,4.7035e-05
109,14056.6,1.18137,0.81879,1.33746,0.81213,0.76266,0.8213,0.51624,1.30755,0.82925,1.4582,4.654e-05,4.654e-05,4.654e-05
110,14209.7,1.18813,0.82824,1.3509,0.80858,0.76288,0.81986,0.5159,1.30622,0.83167,1.4631,4.6045e-05,4.6045e-05,4.6045e-05
111,14362.4,1.18351,0.82353,1.34658,0.7985,0.76589,0.81846,0.51704,1.30535,0.83495,1.45957,4.555e-05,4.555e-05,4.555e-05
112,14484.8,1.17715,0.81436,1.33905,0.79183,0.77284,0.81881,0.51817,1.30289,0.8369,1.45882,4.5055e-05,4.5055e-05,4.5055e-05
113,14571.4,1.17062,0.81189,1.34019,0.78794,0.76923,0.81572,0.51522,1.29375,0.84467,1.4508,4.456e-05,4.456e-05,4.456e-05
114,14657.4,1.18593,0.82197,1.33863,0.80203,0.7592,0.8147,0.51727,1.2904,0.84245,1.44475,4.4065e-05,4.4065e-05,4.4065e-05
115,14743,1.1805,0.82085,1.33391,0.78903,0.77425,0.81604,0.51497,1.29519,0.83803,1.44879,4.357e-05,4.357e-05,4.357e-05
116,14829.4,1.18346,0.82556,1.3485,0.78592,0.77352,0.81972,0.51774,1.29216,0.83798,1.44716,4.3075e-05,4.3075e-05,4.3075e-05
117,14915.6,1.17151,0.81635,1.34614,0.78989,0.77592,0.82151,0.51804,1.29487,0.83611,1.44959,4.258e-05,4.258e-05,4.258e-05
118,15001.6,1.17549,0.81289,1.34407,0.78773,0.78094,0.8212,0.51869,1.30256,0.83436,1.461,4.2085e-05,4.2085e-05,4.2085e-05
119,15087.3,1.17683,0.81495,1.35043,0.79092,0.77174,0.8176,0.51709,1.29979,0.83456,1.46272,4.159e-05,4.159e-05,4.159e-05
120,15173.2,1.1696,0.80771,1.34327,0.79322,0.77174,0.81805,0.51674,1.29751,0.84188,1.46324,4.1095e-05,4.1095e-05,4.1095e-05
121,15259.2,1.17274,0.81538,1.3507,0.78889,0.77341,0.81633,0.51608,1.29795,0.84206,1.46872,4.06e-05,4.06e-05,4.06e-05
122,15344.6,1.15787,0.81048,1.34187,0.79261,0.77013,0.81857,0.51872,1.29813,0.8387,1.47109,4.0105e-05,4.0105e-05,4.0105e-05
123,15430.4,1.17477,0.82384,1.36102,0.79067,0.76923,0.81918,0.51944,1.30023,0.83942,1.47692,3.961e-05,3.961e-05,3.961e-05
124,15516.3,1.16993,0.81023,1.35137,0.80671,0.75084,0.81944,0.52144,1.30324,0.84237,1.481,3.9115e-05,3.9115e-05,3.9115e-05
125,15602.1,1.17205,0.79486,1.33496,0.80216,0.75669,0.81966,0.51981,1.29937,0.84315,1.47124,3.862e-05,3.862e-05,3.862e-05
126,15687.5,1.16514,0.80678,1.34302,0.78806,0.77102,0.8173,0.51814,1.30513,0.84258,1.47945,3.8125e-05,3.8125e-05,3.8125e-05
127,15773.1,1.16986,0.79815,1.34058,0.79443,0.76421,0.81878,0.5181,1.30386,0.84207,1.47922,3.763e-05,3.763e-05,3.763e-05
128,15858.9,1.16287,0.80045,1.33943,0.80616,0.75808,0.81804,0.51708,1.30208,0.83742,1.47761,3.7135e-05,3.7135e-05,3.7135e-05
129,15944.9,1.15525,0.79945,1.34449,0.79999,0.76338,0.82026,0.51757,1.30091,0.83702,1.47842,3.664e-05,3.664e-05,3.664e-05
130,16030.4,1.1574,0.79024,1.33772,0.821,0.74415,0.81828,0.51767,1.29774,0.83939,1.47473,3.6145e-05,3.6145e-05,3.6145e-05
